epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,7302.55,0.58832,0.44139,0.97165,0.9351,0.81632,0.88509,0.61323,1.06397,0.59255,1.28718,0.000139087,0.000139087,0.000139087
124,7361.54,0.59902,0.44002,0.96812,0.90438,0.83114,0.8821,0.61228,1.07494,0.58608,1.30025,0.000134375,0.000134375,0.000134375
125,7420.53,0.59021,0.43347,0.96844,0.90625,0.83945,0.88545,0.61213,1.07516,0.59254,1.30553,0.000129662,0.000129662,0.000129662
126,7479.42,0.5897,0.43231,0.96523,0.9179,0.84238,0.8872,0.61954,1.05422,0.59028,1.28459,0.00012495,0.00012495,0.00012495
127,7538.36,0.58549,0.43315,0.9656,0.92637,0.83458,0.88968,0.61733,1.08129,0.60082,1.30392,0.000120238,0.000120238,0.000120238
128,7597.37,0.58351,0.43247,0.96179,0.92004,0.84104,0.8884,0.61734,1.06666,0.58862,1.28797,0.000115525,0.000115525,0.000115525
129,7656.37,0.58234,0.4295,0.96305,0.91759,0.85123,0.89065,0.61969,1.05068,0.58804,1.28347,0.000110813,0.000110813,0.000110813
130,7715.23,0.58303,0.42763,0.96375,0.91811,0.84048,0.89117,0.62085,1.06406,0.59379,1.2934,0.0001061,0.0001061,0.0001061
131,7774.24,0.57351,0.42304,0.96056,0.92721,0.83837,0.89276,0.61918,1.07673,0.58839,1.29512,0.000101388,0.000101388,0.000101388
132,7833.22,0.57341,0.42531,0.95958,0.91129,0.84157,0.89189,0.62381,1.04892,0.58967,1.2751,9.66756e-05,9.66756e-05,9.66756e-05
133,7892.15,0.57059,0.42042,0.95695,0.92445,0.84362,0.89728,0.62427,1.04427,0.58631,1.27006,9.19632e-05,9.19632e-05,9.19632e-05
134,7951.01,0.56784,0.42197,0.95926,0.91776,0.85282,0.89556,0.62411,1.05676,0.56882,1.2851,8.72508e-05,8.72508e-05,8.72508e-05
135,8010.07,0.56702,0.41851,0.95618,0.91847,0.84619,0.89209,0.62143,1.0472,0.56418,1.2773,8.25384e-05,8.25384e-05,8.25384e-05
136,8068.89,0.5596,0.41161,0.95185,0.92618,0.84501,0.89455,0.62507,1.03895,0.56136,1.26891,7.7826e-05,7.7826e-05,7.7826e-05
137,8128.09,0.56934,0.42007,0.95659,0.9239,0.84921,0.89606,0.6236,1.04602,0.55928,1.27332,7.31136e-05,7.31136e-05,7.31136e-05
138,8187.19,0.56478,0.41542,0.95416,0.92546,0.8599,0.89799,0.62809,1.04188,0.55666,1.27033,6.84012e-05,6.84012e-05,6.84012e-05
139,8246.26,0.55848,0.41113,0.95262,0.92453,0.85251,0.89687,0.62707,1.03727,0.55351,1.27016,6.36888e-05,6.36888e-05,6.36888e-05
140,8305.19,0.56554,0.41306,0.95232,0.93051,0.85122,0.89798,0.62491,1.05418,0.56374,1.28733,5.89764e-05,5.89764e-05,5.89764e-05
141,8378.12,0.5547,0.35538,0.93755,0.93605,0.81446,0.89098,0.61691,1.07003,0.58787,1.29287,5.4264e-05,5.4264e-05,5.4264e-05
142,8436.14,0.54739,0.34959,0.93137,0.90834,0.84013,0.8899,0.61901,1.06182,0.58307,1.28641,4.95516e-05,4.95516e-05,4.95516e-05
143,8494.33,0.53618,0.34041,0.92821,0.921,0.83488,0.89102,0.61818,1.0724,0.58581,1.30204,4.48392e-05,4.48392e-05,4.48392e-05
144,8552.28,0.53496,0.34033,0.92694,0.92913,0.82591,0.88653,0.61888,1.06647,0.57906,1.30355,4.01268e-05,4.01268e-05,4.01268e-05
145,8610.43,0.5281,0.33395,0.92225,0.91999,0.83422,0.88666,0.62072,1.06973,0.58403,1.30754,3.54144e-05,3.54144e-05,3.54144e-05
146,8668.8,0.53206,0.33734,0.9279,0.95144,0.80833,0.88806,0.61639,1.07028,0.58522,1.30565,3.0702e-05,3.0702e-05,3.0702e-05
147,8726.84,0.52706,0.33404,0.92142,0.91778,0.83584,0.89036,0.62048,1.05537,0.57783,1.29481,2.59896e-05,2.59896e-05,2.59896e-05
148,8784.9,0.5217,0.33254,0.92514,0.91201,0.84361,0.89596,0.62191,1.05466,0.57646,1.29226,2.12772e-05,2.12772e-05,2.12772e-05
149,8843.24,0.51949,0.33028,0.92112,0.92002,0.84455,0.89655,0.62292,1.0548,0.57516,1.29466,1.65648e-05,1.65648e-05,1.65648e-05
150,8901.55,0.52255,0.32943,0.91711,0.94726,0.80967,0.89013,0.6234,1.05397,0.57279,1.29449,1.18524e-05,1.18524e-05,1.18524e-05
